db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n20375263,Aspergerův syndrom James Ioan,100,1,2008,207,,životopisy,Triton,české,"Kniha se zabývá dvaceti významnými historickými osobnostmi, jež s velkou pravděpodobností trpěly mírnou formou autismu, konkrétně tzv. Aspergerovým syndromem. Jsou to umělci,...",238,269,"['životopisy', '', 'Triton, české']"
n2957251,Cyril Bouda Malířova Malá mořská víla Klempera Josef,0,0,2008,192,,životopisy,české</p>,,"Vyprávění o Cyrilu Boudovi je povídání o velkém českém umělci i o vnitřně krásném člověku, jemuž příroda i rod daly nadání tvořit barvou, perem, tuší i rydlem neopakovatelné...",64,89,"['životopisy', '', 'české']"
n459928813,Ráj i peklo s božským Ivanem,0,0,2008,188,,životopisy,české</p>,,"Příběh úspěšné ženy slavného muže, která po rozvodu sestoupí z absolutního vrcholu společenské hierarchie i shodou nešťastných okolností téměř až ke dnu lidské existence, ale...",64,178,"['životopisy', '', 'české']"
n455313243,Barack Obama - Pokus o nemožné - Wilson John K.,0,0,2008,204,,životopisy,BizBooks,české,"Barack Obama patří mezi nejoblíbenější americké politiky, jeho prezidentská kandidatura vzbudila na domácí scéně pozornost obrovského množství lidí a zároveň silnou vlnu...",92,231,"['životopisy', '', 'BizBooks, české']"
n459936657,7000 dní na Sibiři,0,0,2008,208,,životopisy,Naše vojsko,české,Mladý tiskařský dělník Karlo Štajner vstoupil v roce 1919 do KS Jugoslávie s vírou ve světovou socialistickou revoluci a ve správnost stalinských dogmat. Teprve jeho pobyt v...,67,216,"['životopisy', '', 'Naše vojsko, české']"
n456475175,Dracula - Luboš Y. Koláček,0,0,2008,198,,životopisy,Akcent,české,"Tepeš čili Napichovač - samozřejmě lidí a na kůl! Tak byl nazýván historický valašský kníže Vlad III. Dracula. Legendární Dracula, známější jako literární a filmový hrabě...",124,199,"['životopisy', '', 'Akcent, české']"
n569569,Případ zájezd - Jan Jícha,0,0,2008,179,,životopisy,české</p>,,"V0130354
Byli jste někdy na zájezdu a vrátili se z něj celí, se vším majetkem a všichni? Pak nevíte, co je zájezd.
Znáte průvodce, kteří chodí s deštníkem po městě a usmívají...",132,199,"['životopisy', '', 'české']"
n455541622,Vtip a moudrost Ronalda Reagana - Humes James C.,0,0,2008,216,,životopisy,české</p>,,"Ronald Reagan je něčím víc než oblíbeným a uctívaným prezidentem – pro miliony lidí je hrdinou, je milován jako charismatický vůdce, který více než kterýkoli jiný moderní...",134,225,"['životopisy', '', 'české']"
n956031,Pocta Dagmar Císařové k 75. narozeninám - Jaroslav Fenyk a kol.,0,0,2008,184,,životopisy,české</p>,,"K významnému životnímu jubileu Prof. JUDr. Dagmar Císařové, DrSc., která patří mezi nejvýznamnější české právníky v oboru trestního práva a je pro své výjimečné odborné kvality...",241,360,"['životopisy', '', 'české']"
n599450461,Borůvkový piknik,0,0,2008,174,,životopisy,české</p>,,"Veselý borůvkový piknik se odehrává před povodněmi v létě 2002. Náhodný milostný příběh, do kterého patří sladké noci, milování v dešti, pod střechou i na voru uprostřed...",134,199,"['životopisy', '', 'české']"
n4424942,"Co bylo včera, (ne)může být i dnes Drobný Milan",0,0,2008,208,,životopisy,Nakladatelství BRÁNA,české,"Kniha o meznících v životě populárního zpěváka,sportovce a nestárnoucího milovníka všech krás i pokušení světa. Na své cestě potkal Milan Drobný známé osobnosti, zakusil mnohé...",174,249,"['životopisy', '', 'Nakladatelství BRÁNA, české']"
n734842438,Epimenes,0,0,2008,176,,životopisy,české</p>,,"Demokracie, která nepřináší svobodu, zato intriky,zrady a nejistotu, zatímco její sestra války rozehrává utrpení a bídu plnými hrstmi. To je dobová kulisa příběhu o síle...",208,280,"['životopisy', '', 'české']"
n459931517,Krížová cesta kultúry,0,0,2008,184,,životopisy,Vydavateľstvo Matice slovenske,slovenské,"Prostredníctvom esejí, úvah a rozhovorov sprítomňuje známy literát a publicista pätnásťročie spoločenských pohybov od novembra 1989, ktoré zmenili charakter a dosah slovenskej...",47,247,"['životopisy', '', 'Vydavateľstvo Matice slovenske, slovenské']"
n459926805,Oktábcová Simona - Dětství před kamerou - Příběhy slavných,0,0,2008,200,,životopisy,"<abbr title=""Počet stran"">200</abbr></p>",,"Autorka knihy je téměř osudově spjata s tématem slavných dětských herců - nejprve jejich osudy poznávala, když o nich psala do televizního časopisu, později, když se jako...",62,128,"['životopisy', '']"
n734842482,Odpuštění?,0,0,2008,190,,životopisy,české</p>,,"Neskutečný život skutečných lidí.
Je největším neštěstím Čechů to, že si teď vládnou sami?
Bylo Hitler Čech? Byl Kňažko Havlův šašek?
Lezl Plojhar komunistům do zadku ?

Autor:...",141,220,"['životopisy', '', 'české']"
n599450670,Fešáci,0,0,2008,192,,životopisy,slovenské</p>,,"Jazyk: slovenský
Počet stran: 192
Rok vydání: 2008
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Marenčin PT, spol. s r.o.",165,268,"['životopisy', '', 'slovenské']"
n7865893,Als Junge wäre ich erschossen worden... Skleničková Jaroslava,0,0,2008,200,,životopisy,Prostor,německé,"Vzpomínky Jaroslavy Skleničkové zachycují životní příběh jedné z lidických rodaček, do jejichž osudu nanejvýš krutým způsobem zasáhly dějiny v podobě vyhlazení Lidic. Nacisté...",220,266,"['životopisy', '', 'Prostor, německé']"
n459936661,Velvyslanec vzpomíná,0,0,2008,184,,životopisy,Ottovo nakladatelstvo,české,Tato knížka si nečiní nároky probrat systematicky a zevrubně vztahy SSSR a následně Ruské federace s Československem a později s Českou republikou. Jsou to jen myšlenkové...,136,199,"['životopisy', '', 'Ottovo nakladatelstvo, české']"
