db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n23351101,Noční vizita - Jindřich Tošner,0,0,1999,1,,poezie,české</p>,,"Barevná obrazová publikace představuje průřez výtvarným dílem významné české výtvarnice a fotografky žijící v Paříži. Soustředí se zejména na její objekty, fotografické...",41,44,"['poezie', '', 'české']"
n429623,Krátke listy jednému mestu - Vášáryová Magda,100,1,1999,80,,poezie,slovenské</p>,,Krátke listy jednému mestu kniha od autora Magda Vášáryová. Poetické texty s ilustracemi Slavo Haľami.,78,96,"['poezie', '', 'slovenské']"
n558535,DÍLNA MIROSLAVA HORNÍČKA,90,2,1999,136,,životopisy,Nakladatelství Olomouc,české,"Monografie je zaměřena na analýzu Horníčkova dramatického a prozaického díla, především na poetiku. V úvodu autor seznamuje čtenáře s osobností Miroslava Horníčka, zejména s...",32,54,"['životopisy', '', 'Nakladatelství Olomouc, české']"
n228683686,"Továrna na legraci, Petr Novotný",0,0,1999,160,,životopisy,Ottovo nakladatelstvo,české,"Jazyk: český
Počet stran: 160
Rok vydání: 1999
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Ottovo nakladatelství s.r.o.",90,152,"['životopisy', '', 'Ottovo nakladatelstvo, české']"
n51028133,Tak bolely hvězdy,0,0,1999,0,,poezie,české</p>,,"Na židovském  hřbitově v Pardubicích na náhrobku mých prarodičů je vytesáno: in memoriam Otto Weiss 4.7.1898 - zahynul 1944. Kde a kdy přesně byl můj otec zavražděn, se mi...",68,86,"['poezie', '', 'české']"
n428953,Oblak vyplouvající ze studny tíhy - Staso Staso,0,0,1999,45,,poezie,Triton,české,Oblak vyplouvající ze studny tíhy kniha od autora Staso Staso. Nová sbírka poezie pražského autora na prahu Kristových let s půvabnými ilustracemi tříapůlletého...,28,36,"['poezie', '', 'Triton, české']"
n429823,O Bohu a Beethovenovi a lásce a procitání - Bárová Ivana,0,0,1999,140,,poezie,české</p>,,Básnická sbírka současné české autorky.,76,86,"['poezie', '', 'české']"
n430470,K svému - Volf Zdeněk,0,0,1999,62,,poezie,Host,české,"Jazyk: česky
Počet stran: 62
Nakladatelství: Host
Rok vydání: 1999",54,72,"['poezie', '', 'Host, české']"
n432051,Bytost Petr Halmay,0,0,1999,58,,poezie,české</p>,,"Jazyk: česky
Počet stran: 58
Nakladatelství: Sdružení na podporu vydávání č
Rok vydání: 1999",37,49,"['poezie', '', 'české']"
n429274,Prohlubeň ticha -- Výbor z poezie - Minatti Ivan,0,0,1999,82,,poezie,české</p>,,"Výbor z jeho tvorby zachycuje důležité úseky jeho vývoje. Přes léta milostného vzplanutí provázeného i zklamáními, přes období společenských postojů až po závěrečnou periodu...",28,46,"['poezie', '', 'české']"
n40347322,Moja sudička,0,0,1999,128,,životopisy,Vydavateľstvo SSS,slovenské,"Spomienková autobiografia (dokončená roku 1982) patrí medzi najvýznamnejšie práce prozaika, publicistu a prekladateľa Jána Bodenka (1911 - 1985). Zachytáva šesť desaťročí...",51,80,"['životopisy', '', 'Vydavateľstvo SSS, slovenské']"
n30706396,Snová zavazadla,0,0,1999,116,,poezie,H+H Vyšehradská,české,Snová zavazadla - básně a texty kniha od autora Soupault Philippe. Výbor z celoživotního básnického díla francouzského surrealisty a spoluautora „bible surrealismu“...,75,119,"['poezie', '', 'H+H Vyšehradská, české']"
n202422416,"Aleš Lunetic Kocián, Ladislav; Tomášek, Martin",0,0,1999,120,,životopisy,české</p>,,"Jazyk: český
Počet stran: 120
Rok vydání: 1999
Vazba / Podoba: Pevná bez přebalu matná
Sortiment: 
Nakladatelství: Mgr. Jiří Švejda",85,139,"['životopisy', '', 'české']"
n30706119,Obojí pramen,0,0,1999,63,,poezie,české</p>,,Obojí pramen kniha od autora ze Strdic Petr Stradický-Stanczyk. Duchovně mystická baladická báseň mladého českého křesťanského autora.,30,36,"['poezie', '', 'české']"
n30706473,Jedna kabina pro dva osudy,0,0,1999,78,,poezie,české</p>,,Sbírka veršů překladatele a esejisty.,28,72,"['poezie', '', 'české']"
n53884413,Samospád samoty Jiří Gold,0,0,1999,166,,poezie,české</p>,,"Samospád samoty kniha od autora Gold Jiří. Sbírka deníkových básní z roku 1987 s fotografiemi a kolážemi Aloise Nožičky. Goldovy ne-texty, volně navazující na mladofrontovní...",67,100,"['poezie', '', 'české']"
n431967,Sivý křik (R. Fajkus),0,0,1999,1,,poezie,české</p>,,"Kniha, která vrhá nemilosrdné světlo na rakouskou společnost v době vlády nacismu a definitivně boří mýtus o nacistickém Rakousku coby pouhé oběti Hitlerovy expanze. Přestože...",47,54,"['poezie', '', 'české']"
n429847,Diagnóza a jiné básně Benýšek Zbyněk,0,0,1999,104,,poezie,Torst,české,"Svazek obsahuje výbor z autorových textů z let 1977-1997, které
většinou vypovídají o jeho desetiletém pobytu ve vídeňském exilu.",86,107,"['poezie', '', 'Torst, české']"
n228684822,Lítost,0,0,1999,33,,poezie,české</p>,,"Básnická sbírka moravského autora střední generace, jehož verše jsou křehké jako zářezy na poutnické holi i takřka lidové písňovosti.",43,63,"['poezie', '', 'české']"
n429249,Snímání s kříže - Slavík Ivan,0,0,1999,101,,poezie,české</p>,,Snímání s kříže kniha od autora Ivan Slavík. Kompletní vydání básnické sbírky z roku 1947.,63,77,"['poezie', '', 'české']"
n429532,Nix verstehen - Antonín Mareš,100,1,1999,64,,poezie,české</p>,,"Kniha popisuje vojenské operace a tažení starozákonních vojevůdců. Přináší nejen poučení o soudobé strategii a taktice, ale je také důležitým klíčem k poznání dob, kdy zápas o...",48,69,"['poezie', '', 'české']"
n429279,Karlín přístav,0,0,1999,64,,poezie,české</p>,,"Karlín přístav kniha od autora Vratislav Brabenec. Báseň v próze básníka a textaře, saxofonisty skupiny Plastic People of the Universe.",25,49,"['poezie', '', 'české']"
n429773,Úsvit přichází slzami - Burian Petr,100,1,1999,58,,poezie,Dauphin,české,"Nová básnická sbírka P. Buriana je příspěvkem k tomu málu české poezie, která dnes vychází.",92,115,"['poezie', '', 'Dauphin, české']"
n259845687,Srp - zmije - Djoko Stojičič,0,0,1999,68,,poezie,Dauphin,české,"Reprezentativní představení současné srbské poezie. Přeložili Rajko Doleček, Ivan Dorovský, Milada Nedvědová, Ditta Pfefferová.",99,124,"['poezie', '', 'Dauphin, české']"
n429260,Objetiny -- Výbor z veršů - Zelenka Jaromír,0,0,1999,40,,poezie,Triáda,české,"Jazyk: česky
Počet stran: 40
Nakladatelství: Triáda
Rok vydání: 1999",71,89,"['poezie', '', 'Triáda, české']"
n23351006,Kámen a světlo - Věra Kopecká,0,0,1999,106,,poezie,české</p>,,"Jazyk: česky
Počet stran: 106
Nakladatelství: Broumovsko
Rok vydání: 1999",40,60,"['poezie', '', 'české']"
n428914,Alepřesto Rajčan Pavel,0,0,1999,69,,poezie,české</p>,,"Jazyk: česky
Počet stran: 69
Vazba / Podoba: vázaná
Nakladatelství: Krásné nakladatelství
Rok vydání: 1999",68,80,"['poezie', '', 'české']"
n429572,Umbra Vitae - Heym Georg,0,0,1999,108,,poezie,české</p>,,"Umbra Vitae kniha od autora Georg Heym. Výbor poezie expresionisty rakouského původu, který sestavil a doslovem opatřil L. Kundera.",100,160,"['poezie', '', 'české']"
n430404,Hudba v obrazech - Balcar Ondřej,0,0,1999,82,,poezie,české</p>,,"Hudba v obrazech kniha od autora Ondřej Balcar. Kniha hudebníka (kontrabasista v České filharmonii) a výtvarníka (člen Syndikátu výtvarných umělců), ve které obrazy zní hudbou....",241,270,"['poezie', '', 'české']"
n431944,Situace - Ewald Murrer,0,0,1999,1,,poezie,české</p>,,"V pořadí čtvrtou básnickou knihu Ewalda Murrera, s názvem Situace, vydalo ke konci roku 1995 Krásné nakladatelství. Sbírka je rozdělena do čtyř oddílů: Únava a snění, Spánek a...",58,58,"['poezie', '', 'české']"
n23351101,Noční vizita - Jindřich Tošner,0,0,1999,1,,poezie,české</p>,,"Barevná obrazová publikace představuje průřez výtvarným dílem významné české výtvarnice a fotografky žijící v Paříži. Soustředí se zejména na její objekty, fotografické...",41,44,"['poezie', '', 'české']"
n429623,Krátke listy jednému mestu - Vášáryová Magda,100,1,1999,80,,poezie,slovenské</p>,,Krátke listy jednému mestu kniha od autora Magda Vášáryová. Poetické texty s ilustracemi Slavo Haľami.,78,96,"['poezie', '', 'slovenské']"
n558535,DÍLNA MIROSLAVA HORNÍČKA,90,2,1999,136,,životopisy,Nakladatelství Olomouc,české,"Monografie je zaměřena na analýzu Horníčkova dramatického a prozaického díla, především na poetiku. V úvodu autor seznamuje čtenáře s osobností Miroslava Horníčka, zejména s...",32,54,"['životopisy', '', 'Nakladatelství Olomouc, české']"
n228683686,"Továrna na legraci, Petr Novotný",0,0,1999,160,,životopisy,Ottovo nakladatelstvo,české,"Jazyk: český
Počet stran: 160
Rok vydání: 1999
Vazba / Podoba: Pevná bez přebalu lesklá
Sortiment: 
Nakladatelství: Ottovo nakladatelství s.r.o.",90,152,"['životopisy', '', 'Ottovo nakladatelstvo, české']"
