db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n460838927,Staré řecké báje a pověsti,90,4,2017,110,Sun,dětské,Alexandra Niklíčková</p>,,"Tato bohatě ilustrovaná kniha obsahuje klasické příběhy z řecké mytologie, které jsou moderně převyprávěné pro děti a mládež. Jednotlivé příběhy pojednávají o řeckých bozích,...",70,91,"['Sun, dětské', '', 'české, Alexandra Niklíčková']"
n709333215,Romeo a Julie - Světová četba pro školáky,0,0,2017,70,Sun,dětské,William Shakespeare</p>,,"Světová četba pro školáky je edice bohatě ilustrovaných, citlivě převyprávěných a zkrácených děl světové literatury. Hlavními postavami je chlapec Romeo a dívka Julie, kteří...",90,139,"['Sun, dětské', '', 'české, William Shakespeare']"
n494003989,ATLAS VLAJEK se samolepkami,96,3,2017,24,Sun,dětské,Nakladatelství SUN</p>,,"Vybarvuj zábavné obrázky podle své fantazie. Nalepuj samolepky a vyzdob si svůj obrázek. A hlavně se dobře bav. Budeš-li chtít, můžeš si obrázky vybarvit i podle čísel....",116,161,"['Sun, dětské', '', 'české, Nakladatelství SUN']"
n508842182,Procvičování ruky tahy čáry,100,1,2017,32,Sun,dětské,Janáčková Zita</p>,,"V této cvičebnici si (nejen) budoucí školáci procvičí ruku a uvolní zápěstí. Kniha obsahuje různá kolečka, čáry, šnečky, zkrátka vše co malý školák potřebuje pro úspěšné...",31,49,"['Sun, dětské', '', 'české, Janáčková Zita']"
n540591141,Počítání pro malé školáky - Kol.,100,1,2017,32,Sun,dětské,Nakladatelství SUN</p>,,"V této cvičebnici si (nejen) budoucí školáci čísla, sčítání. Kniha obsahuje od poznávání čísel po sčítání, zkrátka vše co malý školák potřebuje pro úspěšné zvládnutí prvních...",31,49,"['Sun, dětské', '', 'české, Nakladatelství SUN']"
n485774965,Bludiště,88,5,2017,64,Sun,dětské,Janáčková Zita</p>,,"Jak máš šikovné ruce? Dokážeš projít všemi bludišti? 

Báječný sešit, který obsahuje zábavná bludiště, kterými musíte projít. Každé bludiště je plné krásných obrázků. Až...",51,79,"['Sun, dětské', '', 'české, Janáčková Zita']"
n709333221,Tři mušketýři - Světová četba pro školáky,100,1,2017,70,Sun,dětské,Alexandre Dumas</p>,,"Světová četba pro školáky je edice bohatě ilustrovaných, citlivě převyprávěných a zkrácených děl světové literatury. Gaskoňský šlechtic D'Artagnan, přichází do Paříže. Chce se...",87,139,"['Sun, dětské', '', 'české, Alexandre Dumas']"
n709333216,Drákula - Světová četba pro školáky,0,0,2017,70,Sun,dětské,Bram Stoker</p>,,"Kniha přibližuje hororový příběh o nejslavnějším upírovi - hraběti Drákulovi.

Světová četba pro školáky je edice bohatě ilustrovaných, citlivě převyprávěných a zkrácených děl...",90,139,"['Sun, dětské', '', 'české, Bram Stoker']"
n709333214,Robin Hood - Světová četba pro školáky,0,0,2017,70,Sun,dětské,Alexandre Dumas</p>,,"Světová četba pro školáky je edice bohatě ilustrovaných, citlivě převyprávěných a zkrácených děl světové literatury. Legenda z doby vlády krále Richarda Lví Srdce. O udatném...",87,132,"['Sun, dětské', '', 'české, Alexandre Dumas']"
n707610534,Frankenstein (edice Světová četba pro školáky),0,0,2017,70,Sun,dětské,Shelley Mary</p>,,"Světová četba pro školáky je edice bohatě ilustrovaných, citlivě převyprávěných a zkrácených děl světové literatury. 

 Příběh mladého vědce - fanouška přírodních věd, Viktora...",90,139,"['Sun, dětské', '', 'české, Shelley Mary']"
n707610301,Gulliverovy cesty,0,0,2017,70,Sun,dětské,Swift Jonathan</p>,,"Světová četba pro školáky je edice bohatě ilustrovaných, citlivě převyprávěných a zkrácených děl světové literatury. Hlavní hrdina knihy, lodní lékař a později kapitán Lemuel...",90,139,"['Sun, dětské', '', 'české, Swift Jonathan']"
n467073965,Vzhůru na ralley!,0,0,2017,8,Sun,dětské,české</p>,,"Zábavné okaté leporelo pro kluky a holčičky, které mají rádi autíčka, krásné barevné obrázky a vtipné básničky. Takže pozor jedeme!

Rok vydání: 2017
Vazba: Prostorové pohádky,...",51,71,"['Sun, dětské', '', 'české']"
n549178404,Příprava k zápisu - Předškoláci,0,0,2017,72,Sun,dětské,Michaela Bečková</p>,,"Sun Pracovní sešit Předškoláci

Pracovní sešit je určen všem předškolákům. V mnoha úlohách si děti zábavnou formou procvičí věci, které by měl každý předškolák umět a znát, a...",84,99,"['Sun, dětské', '', 'české, Michaela Bečková']"
n581875841,Pohádková cukrárna - Bonbónky - kolektiv,0,0,2017,8,Sun,dětské,české</p>,,"Sun Pohádková cukrárna Bombónky a lízátka samolepky

Zábavné samolepkové pečení. Vylep si svou nejsladší knihu na světě. Pomocí samolepek si vytvoř svoje lízátko nebo ssladké...",58,89,"['Sun, dětské', '', 'české']"
n533643108,Moje první čtení - Na dobrou noc - neuveden,100,2,2017,92,Sun,dětské,Janáčková Zita</p>,,"V této nádherně ilustrované knize s většími, snadno čitelnými písmeny se děti ponoří do jedenácti zábavných příběhů. Zlepší si čtení i slovní zásobu a u zábavných příběhů se...",129,199,"['Sun, dětské', '', 'české, Janáčková Zita']"
n570281414,Traktory,100,1,2017,12,Sun,dětské,české</p>,,Sestavte si báječné stroje z opakovatelně použitelných samolepek v této knize ve tvaru traktoru. Chcete doplnit obrázky? Přesuňte samolepky do knihy. Můžete je měnit. Samolepky...,58,89,"['Sun, dětské', '', 'české']"
n492870704,Z. příručka pro malé CHODCE,100,1,2017,14,Sun,dětské,české</p>,,"Jazyk: český
Počet stran: 14
Rok vydání: 2017
Vazba / Podoba: Brožovaná bez přebalu lesklá
Sortiment: 
Nakladatelství: Nakladatelství SUN s.r.o.",51,79,"['Sun, dětské', '', 'české']"
n492870709,Z. příručka pro malé CYKLISTY,0,0,2017,14,Sun,dětské,Janáčková Zita</p>,,"Pravidla chování pro cyklisty se samolepkami! 

Samolepková kniha, která děti pomocí hry naučí základní pravidla silničního provozu. Zábava pro vaše děti i jejich kamarády. A...",52,71,"['Sun, dětské', '', 'české, Janáčková Zita']"
n567856124,Náklaďáky,100,1,2017,8,Sun,dětské,Nakladatelství SUN</p>,,"Sun Samolepková kniha s Náklaďáky pro opakované použití

S tímto sešitem si můžete vytvořit své vlastní stroje. S nálepkami, které najdete uvnitř si můžete hrát a tvořit. Díky...",58,89,"['Sun, dětské', '', 'české, Nakladatelství SUN']"
n478569173,NAKLADATELSTVÍ SUN s.r.o. Honba za pokladem Nilu - Klub stopařů,0,0,2017,144,Sun,dětské,Maria Maneruová</p>,,"Sun Klub stopařů 

Honba za pokladem Nilu je jednou ze série knih Klubu stopařů.

Tentokrát se příběh odvíjí v prostředí egyptském, a to v oblasti řeky Nilu. Nedůvěřiví...",144,229,"['Sun, dětské', '', 'české, Maria Maneruová']"
