db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n24713407,Rizika v komerční praxi,0,0,2011,320,české,naučná,František Janatka</p>,,Publikace zkoumající v rizika vznikající v komerční sféře..  Problematika rizik by v dnešní hektické době rozhodně neměla být opomíjena.  Publikace se zaměřuje zejména na...,330,380,"['Wolters Kluwer, naučná', '', 'české, František Janatka']"
n552607793,"Sbírka příkladů z obchodního práva, 2. vydání - Černá Stanis...",0,0,2011,412,české,naučná,Černá Stanislava</p>,,"Předkládané druhé vydání učebnice obsahuje přes 250 příkladů z oboru obchodního práva, jež jsou rozděleny do dvou částí - příklady řešené a příklady neřešené. Publikace je...",221,439,"['Wolters Kluwer, naučná', '', 'české, Černá Stanislava']"
n50965441,Robustní politická ekonomie pro 21. století - Peter Boettke,0,0,2011,360,české,naučná,Peter Boettke</p>,,"Profesor Peter Boettke z George Mason University je dnes hlavním představitelem tradice rakouské ekonomické školy, jejiž myšlenky zažívají v poslední době renesanci. Rakouská...",347,399,"['Wolters Kluwer, naučná', '', 'české, Peter Boettke']"
n33952607,Harmonizace daňových systémů zemí Evropské unie,0,0,2011,320,české,naučná,Danuše Nerudová</p>,,"Tato publikace zpracovává velmi aktuální téma, které je zajímavé pro všechny, kdo se zabývají evropskou integrací, včetně akademické sféry. Publikace je však velmi užitečná i...",325,325,"['Wolters Kluwer, naučná', '', 'české, Danuše Nerudová']"
n24499070,Příspěvkové organizace 2011,0,0,2011,344,české,naučná,Kolektiv autorů</p>,,"Meritum Příspěvkové organizace 2011 je ucelený průvodce fungováním příspěvkových organizací v roce 2011.

Meritum obsahuje komplexně zpracované informace z oblasti práva, daní...",437,437,"['Wolters Kluwer, naučná', '', 'české, Kolektiv autorů']"
n14595449,"Veřejné finance 2.vyd. - Hamerníková B., Maaytová A. a kolektiv",98,2,2011,340,české,naučná,Alena Maayt</p>,,"Nová česká učebnice o veřejných financích. Jde o vysokoškolský učební text pro ekonomické směry studia, avšak vzhledem k povaze rozebíraných otázek a k významu zkoumané...",312,417,"['Wolters Kluwer, naučná', '', 'české, Bojka Hamerníková, Alena Maayt']"
n26773344,Zadávání veřejných zakázek,0,0,2011,424,české,naučná,David Raus</p>,,"Judikatura s komentářem - Veřejné zakázky a jejich problematika. Publikace Zadávání veřejných zakázek, kterou napsal David Raus, přináší soubor případů, který obsahuje významná...",461,575,"['Wolters Kluwer, naučná', '', 'české, David Raus']"
n48626823,Odpovědnost za ekologické škody v občanském právu,0,0,2011,436,české,naučná,Jindřich Psutka</p>,,"Odpovědnost za ekologické škody v občanském právu. Autor v knize přistupuje k problematice ekologických škod z pohledu civilního práva a systematicky zpracovává i další,...",565,695,"['Wolters Kluwer, naučná', '', 'české, Jindřich Psutka']"
n29645555,PŘEHLED JUDIKATURY VE VĚCECH ROZHODČÍHO ŘÍZENÍ - Luděk Lisse,0,0,2011,432,české,naučná,Luděk Lisse</p>,,"Tento svazek řada přehledů judikatury zahrnuje dosud nezmapovanou oblast rozhodnutí soudů týkající se rozhodčího řízení a rozhodčích soudů, které jsou stále častěji vyhledávány...",86,462,"['Wolters Kluwer, naučná', '', 'české, Luděk Lisse']"
n24713407,Rizika v komerční praxi,0,0,2011,320,české,naučná,František Janatka</p>,,Publikace zkoumající v rizika vznikající v komerční sféře..  Problematika rizik by v dnešní hektické době rozhodně neměla být opomíjena.  Publikace se zaměřuje zejména na...,330,380,"['Wolters Kluwer, naučná', '', 'české, František Janatka']"
n552607793,"Sbírka příkladů z obchodního práva, 2. vydání - Černá Stanis...",0,0,2011,412,české,naučná,Černá Stanislava</p>,,"Předkládané druhé vydání učebnice obsahuje přes 250 příkladů z oboru obchodního práva, jež jsou rozděleny do dvou částí - příklady řešené a příklady neřešené. Publikace je...",221,439,"['Wolters Kluwer, naučná', '', 'české, Černá Stanislava']"
n50965441,Robustní politická ekonomie pro 21. století - Peter Boettke,0,0,2011,360,české,naučná,Peter Boettke</p>,,"Profesor Peter Boettke z George Mason University je dnes hlavním představitelem tradice rakouské ekonomické školy, jejiž myšlenky zažívají v poslední době renesanci. Rakouská...",347,399,"['Wolters Kluwer, naučná', '', 'české, Peter Boettke']"
n33952607,Harmonizace daňových systémů zemí Evropské unie,0,0,2011,320,české,naučná,Danuše Nerudová</p>,,"Tato publikace zpracovává velmi aktuální téma, které je zajímavé pro všechny, kdo se zabývají evropskou integrací, včetně akademické sféry. Publikace je však velmi užitečná i...",325,325,"['Wolters Kluwer, naučná', '', 'české, Danuše Nerudová']"
n24499070,Příspěvkové organizace 2011,0,0,2011,344,české,naučná,Kolektiv autorů</p>,,"Meritum Příspěvkové organizace 2011 je ucelený průvodce fungováním příspěvkových organizací v roce 2011.

Meritum obsahuje komplexně zpracované informace z oblasti práva, daní...",437,437,"['Wolters Kluwer, naučná', '', 'české, Kolektiv autorů']"
