db_id,name,rating,reviews_cnt,year,pages_cnt,publisher,genre,author,lang,description,price_from,price_to,unparsed
n81740795,Vlčie dieťa - Dynamo Limited,0,0,2013,128,Fragment,dětské,slovenské</p>,,"Na malom ostrove pri východnom pobreží USA sa nachádza dobre ukrytá Ripleyho stredná škola - unikátna škola pre deti, ktoré majú výnimočné schopnosti. Najlepšie z talentovaných...",87,87,"['Fragment, dětské', '', 'slovenské']"
n154121723,Skladačky z nálepiek,0,0,2013,16,Fragment,dětské,slovenské</p>,,"Snímateľné nálepky, ktoré môžeš použiť znova a znova!
Skladaj postavičky, zvieratká alebo predmety z nálepiek
najrôznejších tvarov a farieb. Použi priložené predlohy alebo si...",39,60,"['Fragment, dětské', '', 'slovenské']"
n154122994,Módna návrhárka - Geraldine Charette,0,0,2013,80,Fragment,dětské,slovenské</p>,,"Módna návrhárka - Geraldine Charette. Aké šaty rada nosíš? Elegantné, športové alebo skôr výstredné? Zapoj svoju fantáziu a kreativitu a vytvor si vlastnú módnu kolekciu....",132,132,"['Fragment, dětské', '', 'slovenské']"
n618881848,Tigrí tím – Hrozivé žraloky,0,0,2013,120,Fragment,dětské,slovenské</p>,,"Pri nočnom výlete na pláž stretne Tigrí tím zmäteného muža. Je pravdivý jeho strašidelný príbeh o bájnej pevnosti na dne mora, ktorú strážia obrovské žraloky? Beáta, Lukáš a...",154,183,"['Fragment, dětské', '', 'slovenské']"
n142648527,Rýchle stroje Ako fungujú fakty a zaujímavosti,0,0,2013,40,Fragment,dětské,slovenské</p>,,"Popis : 
 Objavte, ako fungujú rýchle stroje! 

 Fakty: 
 -  ako fungujú autá na elektrický pohon? 
 - ako funguje brzdenie za pomoci padáka? 
 - ako lieta hydroplán?...",93,110,"['Fragment, dětské', '', 'slovenské']"
n102440410,Kamaráti zvieratká,80,1,2013,80,Fragment,dětské,slovenské</p>,,"Knižka plná zvieratiek a veselých básničiek je určená deťom od 3 rokov. 

Deti sa dozvedia, s akými zvieratkami sa môžu stretnúť na dvore alebo v lese, aké môžu uvidieť v meste...",63,63,"['Fragment, dětské', '', 'slovenské']"
n151950747,Super kamióny,0,0,2013,24,Fragment,dětské,slovenské</p>,,"Super KAMIÓNY v akcii!
Megadlhé tiráky
Neuveriteľné transportéry
Gigantické stroje
Viac než 200 skvelých samolepiek a navyše zaujímavé informácie o každom stroji.

Viac než 200...",99,116,"['Fragment, dětské', '', 'slovenské']"
n111859552,Rozprávky,0,0,2013,64,Fragment,dětské,slovenské</p>,,"Popis : 
 Najznámejšie rozprávky na motívy Boženy Němcovej, ktoré si obľúbili malí aj veľkí čitatelia. 

 Čert a Kača 
 Múdra vrchárka 
 Potrestaná pýcha 
 Princ Bajaja 
 Sedem...",132,207,"['Fragment, dětské', '', 'slovenské']"
n131385598,Poznávame zvieratká Šteniatko a jeho kamaráti,0,0,2013,10,Fragment,dětské,slovenské</p>,,Popis : Šteniatko sa vydáva hľadať poklad a urobí niekoľko prekvapujúcich objavov. Otáčaj kolieskom a hľadaj zvieracieho kamaráta pre každú časť tohto pôvabného záhradného...,88,103,"['Fragment, dětské', '', 'slovenské']"
n110945938,Neobvyklé pátranie - Barbara Wendelken,0,0,2013,144,Fragment,dětské,slovenské</p>,,"Dvanásťročná Lucia býva s rodičmi, babkou a dedkom v mestečku Steinkirchen uprostred Lüneburského vresoviska, kde babička vedie penzión. Na veľkonočné prázdniny opäť...",115,136,"['Fragment, dětské', '', 'slovenské']"
n120995803,Eli hľadá strašidlá,0,0,2013,88,Fragment,dětské,slovenské</p>,,"Ďalší príbeh princeznej Eli a jej poníkov. Jazdiť na niektorom z nich alebo dokonca čistiť kráľovské maštale ju baví oveľa viac, než chodiť na čaj k premiérovi alebo zabávať...",51,91,"['Fragment, dětské', '', 'slovenské']"
n154122673,Šteniatko hľadá mamičku,0,0,2013,12,Fragment,dětské,slovenské</p>,,"Malé šteniatko hľadá svoju mamičku. Pridajte sa k jeho pátraniu, počas ktorého spoznáte mnoho nových zvieracích kamarátov. 
Posuvné kolieska, okienka a vysúvacie stránky robia...",137,147,"['Fragment, dětské', '', 'slovenské']"
n137753149,Urob zo mňa hviezdu! Modelka,0,0,2013,16,Fragment,dětské,slovenské</p>,,"Každý zošit tejto série obsahuje viac než 100 nálepiek, ktoré sa dajú opakovane použiť!Vymysli nový módny vzhľad a uži si veľa zábavy!Nech vyzeráme ako superstar!",117,118,"['Fragment, dětské', '', 'slovenské']"
n132692785,Červený drak Thomas C. Brezina,0,0,2013,112,Fragment,dětské,slovenské</p>,,Na čarodejnom hrade sa opäť dejú tajomné veci. Hradný pán a jeho muži sa premenili na ozrutné zelené príšery. Kto sa to chce obyvateľom hradu pomstiť? Má v tom prsty ich...,182,182,"['Fragment, dětské', '', 'slovenské']"
n136988705,Rozprávkové vyfarbovačky pre radosť -,0,0,2013,32,Fragment,dětské,slovenské</p>,,"Rozprávkové postavy a predmety akoby kúzlom ožijú, len čo ich vymaľuješ podľa návodu. Za každým číslom sa skrýva jedna farba. Podarí sa ti odhaliť...",57,57,"['Fragment, dětské', '', 'slovenské']"
n90067264,Čarovná škôlka pre predškolákov a malých školákov,0,0,2013,48,Fragment,dětské,slovenské</p>,,"Pripravte svojho prváčika na prvý školský deň.

 Spojovačky

 Uvolňovačky

 Dopĺňanie

 Vyfarbovanie

 a ďalšie zábavné úlohy, s ktorými deťmi pomôžu dvaja kamaráti s čarovnej...",104,105,"['Fragment, dětské', '', 'slovenské']"
n459960279,Hráme sa a tvoríme,0,0,2013,48,Fragment,dětské,slovenské</p>,,"Autor : Tony Payne, Popis : 
Vyrob si podľa predlohy rôzne zvieratká, kvietky, záložky alebo stojan na farbičky. Každý obrázok obkresli, vyfarbi podľa vlastnej fantázie a návod...",110,110,"['Fragment, dětské', '', 'slovenské']"
